"","w","age"
"1554",2500,25
"1555",2650,49
"1556",3900,58
"1557",3000,35
"1558",6000,44
"1559",4300,42
"1560",6500,46
"1561",4900,32
"1562",3500,32
"1563",3600,55
"1564",5000,37
"1565",7000,47
"1566",7050,43
"1567",3000,44
"1568",1800,29
"1569",3000,52
"1570",3000,50
"1571",1200,23
"1572",2000,52
"1573",2700,37
"1574",2500,36
"1575",3600,53
"1576",4500,35
"1577",3750,55
"1578",2400,44
"1579",5000,34
"1580",2000,44
"1581",800,57
"1582",2900,27
"1583",2650,50
"1584",6200,34
"1585",2400,36
"1586",3500,30
"1587",1870,63
"1588",2300,49
"1589",2000,36
"1590",1300,53
"1591",3200,38
"1592",4000,63
"1593",2045,56
"1594",2450,47
"1595",950,46
"1596",5000,40
"1597",3500,64
"1598",9500,44
"1599",2850,59
"1600",6400,56
"1601",900,21
"1602",1750,57
"1603",1700,45
"1604",3500,35
"1605",2500,47
"1606",4000,24
"1607",1900,25
"1608",340,55
"1609",340,62
"1610",2400,61
"1611",3000,31
"1612",2000,23
"1613",3500,45
"1614",2800,43
"1615",1600,59
"1616",2200,34
"1617",4000,34
"1618",2500,56
"1619",2000,34
"1620",2500,52
"1621",2200,47
"1622",2500,24
"1623",1750,45
"1624",1800,65
"1625",5000,31
"1626",2000,39
"1627",1950,33
"1628",2800,57
"1629",1950,25
"1630",2200,64
"1631",2900,28
"1632",1730,40
"1633",1700,31
"1634",3500,49
"1635",2400,30
"1636",900,54
"1637",2100,45
"1638",2750,54
"1639",850,45
"1640",2500,47
"1641",3400,32
"1642",2900,47
"1643",2000,24
"1644",2000,39
"1645",1900,35
"1646",600,60
"1647",1930,61
"1648",6000,46
"1649",2200,51
"1650",2000,24
"1651",3500,56
"1652",2200,27
"1653",1900,38
"1654",6000,31
"1655",2500,50
"1656",3800,56
"1657",2700,54
"1658",1900,33
"1659",1800,32
"1660",2200,21
"1661",1800,48
"1662",1950,55
"1663",3000,55
"1664",2000,46
"1665",2500,39
"1666",2300,46
"1667",2300,26
